slug,species_slug,category_slug,method_slug,sample_type_slug,sample_amount,storage_conditions,turnaround_time,display_order,price,currency,is_active,language,name,required_material,notes
qan-serumunda-ehtiyat-qelevinin-teyini-mal-qara,mal-qara,biyokimyasal-analizler,,qan-serumu,,,,80,40.00,AZN,true,az,Qan serumunda ehtiyat qələvinin təyini,Qan serumu,Metabolik asidoz.
qan-serumunda-kalsiumun-miqdarinin-teyini-mal-qara,mal-qara,biyokimyasal-analizler,,qan-serumu,,,,81,40.00,AZN,true,az,Qan serumunda kalsiumun miqdarının təyini,Qan serumu,Kalsiumun həddindən artıq çox olması orqanları zəhərləyir.
qan-serumunda-qeyri-uzvi-fosforun-teyini-mal-qara,mal-qara,biyokimyasal-analizler,,qan-serumu,,,,82,40.00,AZN,true,az,Qan serumunda qeyri-üzvi fosforun təyini,Qan serumu,"Doğuşdan sonrakı hemoqlobinuriya, sonsuzluq və reproduktiv problemlər. Fosfor çatışmayan heyvanlar yem olmayan maddələri yalamağa və yeməyə başlayırlar."
heyvan-ve-bitki-menseli-yemlerde-perekis-ededinin-teyini-mal-qara,mal-qara,biyokimyasal-analizler,,xammal-yem,,,,83,40.00,AZN,true,az,Heyvan və bitki mənşəli yemlərdə peroksid ədədinin təyini,Xammal/yem,Yemdəki piy və yağların köhnəlmə və xarab olma dərəcəsini ölçən keyfiyyət və təhlükəsizlik göstəricisidir.
bugda-ve-bugda-memulatlarinda-tetrametiltiuram-disulfidinin-teyini-mal-qara,mal-qara,biyokimyasal-analizler,,xammal-yem,,,,84,40.00,AZN,true,az,Buğda və buğda məmulatlarında tetrametiltiuram disülfidinin təyini,Xammal/yem,Tetrametiltiuram disülfid toxum dərmanı kimi istifadə olunan funqisiddir.
pambiq-mehsullarinda-serbest-ve-asili-hossipolun-teyini-mal-qara,mal-qara,biyokimyasal-analizler,,xammal-yem,,,,85,40.00,AZN,true,az,Pambıq məhsullarında sərbəst və asılı hossipolun təyini,Xammal/yem,"Sərbəst hossipol ən təhlükəli və zəhərli formadır, hüceyrələri birbaşa parçalayır."
mermer-tozunda-kalsium-teyini-mal-qara,mal-qara,biyokimyasal-analizler,,mermer-tozu,,,,86,40.00,AZN,true,az,Mərmər tozunda kalsium təyini,Mərmər tozu,Mərmər tozunda kalsium karbonatın (CaCO3) kalsium təyini.
mermer-tozunda-maqnezium-teyini-mal-qara,mal-qara,biyokimyasal-analizler,,mermer-tozu,,,,87,40.00,AZN,true,az,Mərmər tozunda maqnezium təyini,Mərmər tozu,Artıq olduqda zəhərlənmə yaradır.
dezinfeksiyanin-effektivliyinin-teyini-mal-qara,mal-qara,mikrobiyoloji,bakterioloji,yaxma-sud-patoloji-material-etraf-muhit,5 nümunə,,,25,,AZN,true,az,Dezinfeksiyanın effektivliyinin təyini,Yaxma/süd/patoloji material/ətraf mühit,Ayda 1 dəfə təqdim olunan 5 nümunəlik paket limiti.
ibr-viruslu-diareya-neospora-xlamidioz-paketi-mal-qara,mal-qara,infeksiyoz,elisa,qan-serumu,3-5 ml,"Hemolizə yol vermədən, zərdab ayrılmalı və soyuq çatdırılmalıdır.",1 gün,13,1200.00,AZN,true,az,"İBR, viruslu diareya, Neospora və Xlamidioz paketi","Qan zərdabı, hər test üçün 3-5 ml","14 nümunəlik paket. Paketə daxildir: İBR (rinotraxeit) testi, viruslu diareyya təyini, Neospora təyini və xlamidiozun təyini."
